samplingdate,geo,population,ab_target,interpretation,seroprev_est,seroprev_lo95,seroprev_hi95,sero_denom,project,miss_denom,adjust_assay,adjust_pop
7/18/2021,CND,Q3,S,induced by either,94.44,93.31,95.58,1558,CBS,0,1,1
7/18/2021,CND,Q4,N,infection-induced,5.72,4.36,7.08,1170,CBS,0,1,1
7/18/2021,CND,Q4,S,induced by either,95.36,94.21,96.52,1170,CBS,0,1,1
7/18/2021,CND,Q5 (most deprived),N,infection-induced,4.62,3.03,6.22,732,CBS,0,1,1
7/18/2021,CND,Q5 (most deprived),S,induced by either,92.94,90.89,95,732,CBS,0,1,1
7/18/2021,CND,racialized,N,infection-induced,7.29,5.95,8.63,1433,CBS,0,1,1
7/18/2021,CND,racialized,S,induced by either,93.82,92.48,95.15,1433,CBS,0,1,1
7/18/2021,CND,white,N,infection-induced,3.33,2.87,3.78,6328,CBS,0,1,1
7/18/2021,CND,white,S,induced by either,95.04,94.44,95.64,6328,CBS,0,1,1
7/18/2021,CND,Q1 (least deprived),"S, no N",vaccine-induced,90.82,90.29,91.35,,CBS,0,1,1
7/18/2021,CND,Q2,"S, no N",vaccine-induced,93.13,92.23,94.02,,CBS,0,1,1
7/18/2021,CND,Q3,"S, no N",vaccine-induced,91.41,90.28,92.55,,CBS,0,1,1
7/18/2021,CND,Q4,"S, no N",vaccine-induced,89.64,88.49,90.8,,CBS,0,1,1
7/18/2021,CND,Q5 (most deprived),"S, no N",vaccine-induced,88.32,86.27,90.38,,CBS,0,1,1
7/18/2021,CND,racialized,"S, no N",vaccine-induced,86.53,85.19,87.86,,CBS,0,1,1
7/18/2021,CND,white,"S, no N",vaccine-induced,91.71,91.11,92.31,,CBS,0,1,1
8/20/2021,CND,Q1 (least deprived),N,infection-induced,3.27,2.52,4.02,2433,CBS,0,1,1
8/20/2021,CND,Q1 (least deprived),S,induced by either,98.25,97.56,98.95,2433,CBS,0,1,1
8/20/2021,CND,Q2,N,infection-induced,3.59,2.77,4.42,2065,CBS,0,1,1
8/20/2021,CND,Q2,S,induced by either,96.45,95.53,97.38,2065,CBS,0,1,1
8/20/2021,CND,Q3,N,infection-induced,2.94,2.1,3.78,1627,CBS,0,1,1
